平日用,,,,,,,
  JAIST発,,,,,,,
    JAIST, ハイテクセンター前, 宮竹ヘルスロード, 灯台笹, 岩本, 本鶴来, 鶴来本町, 鶴来駅
    6:40, 6:41, 6:43, 6:44, 6:45, 6:48, 6:50, 6:53
    7:20, 7:21, 7:23, 7:24, 7:25, 7:28, 7:30, 7:33
    8:00, 8:01, 8:03, 8:04, 8:05, 8:08, 8:10, 8:13
    -, -, -, -, -, -, -, -
    8:42, 8:43, 8:45, 8:46, 8:47, 8:50, 8:52, 8:55
    9:20, 9:21, 9:23, 9:24, 9:25, 9:28, 9:30, 9:33
    9:55, 9:56, 9:58, 9:59, 10:00, 10:03, 10:05, 10:08
    10:34, 10:35, 10:37, 10:38, 10:39, 10:42, 10:44, 10:47
    11:07, 11:08, 11:10, 11:11, 11:12, 11:15, 11:17, 11:20
    12:01, 12:02, 12:04, 12:05, 12:06, 12:09, 12:11, 12:14
    12:43, 12:44, 12:46, 12:47, 12:48, 12:51, 12:53, 12:56
    13:22, 13:23, 13:25, 13:26, 13:27, 13:30, 13:32, 13:35
    14:20, 14:21, 14:23, 14:24, 14:25, 14:28, 14:30, 14:33
    14:53, 14:54, 14:56, 14:57, 14:58, 15:01, 15:03, 15:06
    15:30, 15:31, 15:33, 15:34, 15:35, 15:38, 15:40, 15:43
    16:16, 16:17, 16:19, 16:20, 16:21, 16:24, 16:26, 16:29
    16:55, 16:56, 16:58, 16:59, 17:00, 17:03, 17:05, 17:08
    17:32, 17:33, 17:35, 17:36, 17:37, 17:40, 17:42, 17:45
    18:05, 18:06, 18:08, 18:09, 18:10, 18:13, 18:15, 18:18
    18:50, 18:51, 18:53, 18:54, 18:55, 18:58, 19:00, 19:03
    19:30, 19:31, 19:33, 19:34, 19:35, 19:38, 19:40, 19:43
    20:12, 20:13, 20:15, 20:16, 20:17, 20:20, 20:22, 20:25
    20:50, 20:51, 20:53, 20:54, 20:55, 20:58, 21:00, 21:03
    21:45, 21:46, 21:48, 21:49, 21:50, 21:53, 21:55, 21:58
    -, -, -, -, -, -, -, -
  鶴来駅発,,,,,,,
    鶴来駅, 鶴来本町, 本鶴来, 岩本, 灯台笹, 宮竹ヘルスロード, ハイテクセンター前, JAIST
    -, -, -, -, -, -, -, -
    6:57,6:59,7:00,7:03,7:04,7:05,7:07,7:10
    7:37,7:39,7:40,7:43,7:44,7:45,7:47,7:50
    8:16,8:18,8:19,8:22,8:23,8:24,8:26,8:28
    8:37,8:39,8:40,8:43,8:44,8:45,8:47,8:50
    8:56,8:58,8:59,9:02,9:03,9:04,9:06,9:09
    9:37,9:39,9:40,9:43,9:44,9:45,9:47,9:50
    10:12,10:14,10:15,10:18,10:19,10:20,10:22,10:25
    10:49,10:51,10:52,10:55,10:56,10:57,10:59,11:02
    11:22,11:24,11:25,11:28,11:29,11:30,11:32,11:35
    12:16,12:18,12:19,12:22,12:23,12:24,12:26,12:29
    12:58,13:00,13:01,13:04,13:05,13:06,13:08,13:11
    13:38,13:40,13:41,13:44,13:45,13:46,13:48,13:51
    14:35,14:37,14:38,14:41,14:42,14:43,14:45,14:48
    15:08,15:10,15:11,15:14,15:15,15:16,15:18,15:21
    15:45,15:47,15:48,15:51,15:52,15:53,15:55,15:58
    16:33,16:35,16:36,16:39,16:40,16:41,16:43,16:46
    17:10,17:12,17:13,17:16,17:17,17:18,17:20,17:23
    17:47,17:49,17:50,17:53,17:54,17:55,17:57,18:00
    18:20,18:22,18:23,18:26,18:27,18:28,18:30,18:33
    19:07,19:09,19:10,19:13,19:14,19:15,19:17,19:20
    19:45,19:47,19:48,19:51,19:52,19:53,19:55,19:58
    20:27,20:29,20:30,20:33,20:34,20:35,20:37,20:40
    21:08,21:10,21:11,21:14,21:15,21:16,21:18,21:21
    22:02,22:04,22:05,22:08,22:09,22:10,22:12,22:15
休日用,,,,,,,
  JAIST発,,,,,,,
    JAIST, ハイテクセンタ-前, 宮竹ヘルスロ-ド, 灯台笹, 岩本, 本鶴来, 鶴来本町, 鶴来駅
    7:20, 7:21, 7:23, 7:24, 7:25, 7:28, 7:30, 7:33
    8:00, 8:01, 8:03, 8:04, 8:05, 8:08, 8:10, 8:13
    8:42, 8:43, 8:45, 8:46, 8:47, 8:50, 8:52, 8:55
    9:20, 9:21, 9:23, 9:24, 9:25, 9:28, 9:30, 9:33
    9:55, 9:56, 9:58, 9:59, 10:00, 10:03, 10:05, 10:08
    10:34, 10:35, 10:37, 10:38, 10:39, 10:42, 10:44, 10:47
    11:07, 11:08, 11:10, 11:11, 11:12, 11:15, 11:17, 11:20
    12:01, 12:02, 12:04, 12:05, 12:06, 12:09, 12:11, 12:14
    12:43, 12:44, 12:46, 12:47, 12:48, 12:51, 12:53, 12:56
    13:22, 13:23, 13:25, 13:26, 13:27, 13:30, 13:32, 13:35
    14:20, 14:21, 14:23, 14:24, 14:25, 14:28, 14:30, 14:33
    14:53, 14:54, 14:56, 14:57, 14:58, 15:01, 15:03, 15:06
    15:30, 15:31, 15:33, 15:34, 15:35, 15:38, 15:40, 15:43
    16:16, 16:17, 16:19, 16:20, 16:21, 16:24, 16:26, 16:29
    16:55, 16:56, 16:58, 16:59, 17:00, 17:03, 17:05, 17:08
    17:32, 17:33, 17:35, 17:36, 17:37, 17:40, 17:42, 17:45
    18:32, 18:33, 18:35, 18:36, 18:37, 18:40, 18:42, 18:45
    19:30, 19:31, 19:33, 19:34, 19:35, 19:38, 19:40, 19:43
    20:12, 20:13, 20:15, 20:16, 20:17, 20:20, 20:22, 20:25
    20:50, 20:51, 20:53, 20:54, 20:55, 20:58, 21:00, 21:03
    21:45, 21:46, 21:48, 21:49, 21:50, 21:53, 21:55, 21:58
    -, -, -, -, -, -, -, -
  鶴来駅発,,,,,,,
    鶴来駅, 鶴来本町, 本鶴来, 岩本, 灯台笹, 宮竹ヘルスロ-ド, ハイテクセンタ-前,    JAIST
    -, -, -, -, -, -, -, -
    7:37, 7:39, 7:40, 7:43, 7:44, 7:45, 7:47, 7:50
    8:16, 8:18, 8:19, 8:22, 8:23, 8:24, 8:26, 8:28 
    8:56, 8:58, 8:59, 9:02, 9:03, 9:04, 9:06, 9:09 
    9:37, 9:39, 9:40, 9:43, 9:44, 9:45, 9:47, 9:50 
    10:12, 10:14, 10:15, 10:18, 10:19, 10:20, 10:22, 10:25 
    10:49, 10:51, 10:52, 10:55, 10:56, 10:57, 10:59, 11:02 
    11:22, 11:24, 11:25, 11:28, 11:29, 11:30, 11:32, 11:35 
    12:16, 12:18, 12:19, 12:22, 12:23, 12:24, 12:26, 12:29 
    12:58, 13:00, 13:01, 13:04, 13:05, 13:06, 13:08, 13:11 
    13:38, 13:40, 13:41, 13:44, 13:45, 13:46, 13:48, 13:51 
    14:35, 14:37, 14:38, 14:41, 14:42, 14:43, 14:45, 14:48 
    15:08, 15:10, 15:11, 15:14, 15:15, 15:16, 15:18, 15:21 
    15:45, 15:47, 15:48, 15:51, 15:52, 15:53, 15:55, 15:58 
    16:33, 16:35, 16:36, 16:39, 16:40, 16:41, 16:43, 16:46 
    17:10, 17:12, 17:13, 17:16, 17:17, 17:18, 17:20, 17:23 
    17:47, 17:49, 17:50, 17:53, 17:54, 17:55, 17:57, 18:00 
    18:47, 18:49, 18:50, 18:53, 18:54, 18:55, 18:57, 19:00
    19:45, 19:47, 19:48, 19:51, 19:52, 19:53, 19:55, 19:58 
    20:27, 20:29, 20:30, 20:33, 20:34, 20:35, 20:37, 20:40 
    21:08, 21:10, 21:11, 21:14, 21:15, 21:16, 21:18, 21:21
    22:02, 22:04, 22:05, 22:08, 22:09, 22:10, 22:12, 22:15
